求和项:pnl,列标签,,,,,,,,,,
行标签,Cn.Id807035.All_AN,Cn.Id807035.All_BN,Cn.Id807035.All_CN,Cn.Id807035.All_MN,CnCom.Id807035.CalArbAll2,CnCom.Id807035.CalArbAll2N,Id807035.MFA_T0_A,Id807035.MFA_T0_B,Id807035.MFA_T0_C,Id807035.MFA_T0_M,总计
2019/4/23,3998.2125,17923.8064,7464.43445,-13903.29683,-62170.9573,41349.645,-12887.7525,-20324.8715,21022.5143,-64855.27617,-82383.54165
2019/4/24,4368.2125,18643.8064,5944.43445,-14038.29683,-59325.42817,48109.645,-13758.2375,-13018.3684,20792.04621,-59394.17617,-61676.36252
2019/4/25,1916.1625,18203.8064,2507.6597,-13318.29683,-62130.80187,49622.645,-15824.6875,-13758.64419,19113.5736,-62599.03627,-76267.61947
2019/4/26,922.1125,14693.8064,-923.284075,-16138.38913,-60679.79122,51688.895,-25137.1875,-18008.08304,22888.3419,-66683.95072,-97377.5299
2019/4/29,2339.6125,19390.7892,-1503.284075,-15176.82798,-58424.14122,49815.395,-23441.0825,-26397.83417,20927.01695,-68611.68592,-101082.0422
2019/4/30,4589.6125,19310.7892,-3133.284075,-14826.82798,-56394.14122,51815.395,-30137.5325,-25311.92542,16965.49324,-69760.43812,-106882.8594
2019/5/6,17166.9875,11631.9613,-15237.14607,-15820.72798,-59810.59122,55795.395,-36138.5275,-21063.64302,17576.29933,-68904.67415,-114804.6668
2019/5/7,14346.9875,17321.9613,-12668.61608,-17040.72798,-57435.84122,56092.77,-40581.7225,-10966.43427,23386.29933,-75483.59721,-103028.9211
2019/5/8,17246.9875,22671.9613,-15038.61608,-19749.19124,-58685.84122,54632.77,-47257.8425,-2035.18839,25266.38131,-77126.88208,-100075.4614
2019/5/9,20736.9875,22991.9613,-12128.61608,-17309.19124,-53882.34122,54632.77,-49055.2175,2157.00891,30136.38131,-77001.21521,-78721.47224
2019/5/10,20229.2375,25951.9613,-12808.68598,-15044.45318,-56801.54122,54884.895,-51122.3175,3035.52411,25344.37771,-75493.07846,-81824.08073
